review_id,event_id,reviewer,verdict,notes,review_version,reviewed_at,detector_correct,liquidity_level_clear,sweep_clear,confirmation_clear,reviewer_score,reviewer_comment,source,level_type,detector_pass,is_confirmed,confirmation_delay_bars,confirmation_type,confirmation_strength
R2-LVL-000561,LVL-000561,agent_5,incorrect,round2 source=level_sweep; level_type=prev_day; primary_outcome=sl; exit=stop; wick_ratio=0.06600660066004409; penetration_atr=0.31606618215556537; reclaim_atr=-0.22947270759242847; level_id=prev_day_high_894; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,29,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,prev_day,False,False,,,
R2-LVL-002241,LVL-002241,agent_5,incorrect,round2 source=level_sweep; level_type=equal; primary_outcome=sl; exit=stop; wick_ratio=0.3795309168443394; penetration_atr=0.8984514592019025; reclaim_atr=-0.1563430613460407; level_id=equal_low_3741; bars_held=6.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,59,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,equal,False,False,,,
R2-LVL-002898,LVL-002898,agent_5,correct,round2 source=level_sweep; level_type=equal; primary_outcome=tp; exit=target; wick_ratio=0.5769230769230559; penetration_atr=0.2317469701449123; reclaim_atr=0.339343777712062; level_id=equal_high_5111; bars_held=1.0; net_result_r=2.0; level-sweep row (confirmation check n/a by design); review=textbook sweep: clean directional wick with clear penetration,2,2026-09-02T13:31:07+00:00,yes,yes,yes,n/a,47,textbook sweep: clean directional wick with clear penetration,level_sweep,equal,True,False,,,
R2-LVL-003144,LVL-003144,agent_5,incorrect,round2 source=level_sweep; level_type=swing; primary_outcome=sl; exit=stop; wick_ratio=0.09090909090901038; penetration_atr=0.5728314238952311; reclaim_atr=-0.49263502454997166; level_id=swing_low_5559; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,45,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,swing,False,False,,,
R2-LVL-004033,LVL-004033,agent_5,incorrect,round2 source=level_sweep; level_type=swing; primary_outcome=sl; exit=stop; wick_ratio=0.21634615384618328; penetration_atr=0.1943600867678576; reclaim_atr=0.07895878524952414; level_id=swing_low_7016; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,26,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,swing,False,False,,,
R2-LVL-004399,LVL-004399,agent_5,incorrect,round2 source=level_sweep; level_type=equal; primary_outcome=sl; exit=stop; wick_ratio=0.31986531986533223; penetration_atr=0.4200253027291013; reclaim_atr=-0.1796493764684714; level_id=equal_high_7736; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,50,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,equal,False,False,,,
R2-LVL-004828,LVL-004828,agent_5,incorrect,round2 source=level_sweep; level_type=prev_day; primary_outcome=sl; exit=stop; wick_ratio=0.24663677130045117; penetration_atr=0.22487379531890028; reclaim_atr=0.12849931161086275; level_id=prev_day_low_8408; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,30,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,prev_day,False,False,,,
R2-LVL-004909,LVL-004909,agent_5,incorrect,round2 source=level_sweep; level_type=equal; primary_outcome=sl; exit=stop; wick_ratio=0.26943005181348495; penetration_atr=0.19015889287543877; reclaim_atr=-0.0035879036391561437; level_id=equal_low_8518; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,29,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,equal,False,False,,,
R2-LVL-004941,LVL-004941,agent_5,incorrect,round2 source=level_sweep; level_type=equal; primary_outcome=sl; exit=stop; wick_ratio=0.10467479674796316; penetration_atr=0.7933042212518019; reclaim_atr=-0.4934497816593756; level_id=equal_low_8482; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,45,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,equal,False,False,,,
R2-LVL-005018,LVL-005018,agent_5,incorrect,round2 source=level_sweep; level_type=swing; primary_outcome=sl; exit=stop; wick_ratio=0.03320381490638746; penetration_atr=1.698784870785547; reclaim_atr=-1.4735581037138774; level_id=swing_low_7866; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,42,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,swing,False,False,,,
R2-LVL-005163,LVL-005163,agent_5,incorrect,round2 source=level_sweep; level_type=swing; primary_outcome=sl; exit=stop; wick_ratio=0.1484184914841642; penetration_atr=0.4190421892816301; reclaim_atr=-0.1755986316989982; level_id=swing_low_9004; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,41,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,swing,False,False,,,
R2-LVL-005180,LVL-005180,agent_5,ambiguous,round2 source=level_sweep; level_type=prev_day; primary_outcome=sl; exit=stop; wick_ratio=0.45161290322575914; penetration_atr=0.14038997214472054; reclaim_atr=0.40557103064065847; level_id=prev_day_low_9052; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=between clean and marginal thresholds; human review required,2,2026-09-02T13:31:07+00:00,maybe,maybe,maybe,n/a,34,between clean and marginal thresholds; human review required,level_sweep,prev_day,True,False,,,
R2-LVL-005293,LVL-005293,agent_5,ambiguous,round2 source=level_sweep; level_type=prev_day; primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.0; penetration_atr=0.7295434969853929; reclaim_atr=-0.7295434969853929; level_id=prev_day_low_9236; bars_held=1.0; net_result_r=nan; level-sweep row (confirmation check n/a by design); review=TP and SL inside the same candle: intrabar order unknown; human review required,2,2026-09-02T13:31:07+00:00,maybe,maybe,maybe,n/a,40,TP and SL inside the same candle: intrabar order unknown; human review required,level_sweep,prev_day,False,False,,,
R2-LVL-007916,LVL-007916,agent_5,incorrect,round2 source=level_sweep; level_type=equal; primary_outcome=tp; exit=target; wick_ratio=0.39735099337742563; penetration_atr=0.2985781990520518; reclaim_atr=0.19905213270143074; level_id=equal_low_13416; bars_held=1.0; net_result_r=2.0; level-sweep row (confirmation check n/a by design); review=marginal pattern: tiny wick/penetration candidate for spread noise,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,44,marginal pattern: tiny wick/penetration candidate for spread noise,level_sweep,equal,True,False,,,
R2-LVL-007957,LVL-007957,agent_5,correct,round2 source=level_sweep; level_type=equal; primary_outcome=sl; exit=stop; wick_ratio=0.883620689655177; penetration_atr=0.4086793630970817; reclaim_atr=0.5529191383078924; level_id=equal_high_13495; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=textbook sweep: clean directional wick with clear penetration,2,2026-09-02T13:31:07+00:00,yes,yes,yes,n/a,77,textbook sweep: clean directional wick with clear penetration,level_sweep,equal,True,False,,,
R2-LVL-008884,LVL-008884,agent_5,correct,round2 source=level_sweep; level_type=swing; primary_outcome=sl; exit=stop; wick_ratio=0.556135770235026; penetration_atr=0.49982998979935717; reclaim_atr=0.5141108466508633; level_id=swing_low_15032; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=textbook sweep: clean directional wick with clear penetration,2,2026-09-02T13:31:07+00:00,yes,yes,yes,n/a,68,textbook sweep: clean directional wick with clear penetration,level_sweep,swing,True,False,,,
R2-LVL-009721,LVL-009721,agent_5,incorrect,round2 source=level_sweep; level_type=prev_day; primary_outcome=sl; exit=stop; wick_ratio=0.48420533070088595; penetration_atr=0.018421052631562098; reclaim_atr=2.9289473684210066; level_id=prev_day_low_16563; bars_held=3.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,26,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,prev_day,False,False,,,
R2-LVL-009983,LVL-009983,agent_5,correct,round2 source=level_sweep; level_type=equal; primary_outcome=time; exit=time; wick_ratio=0.7528089887640105; penetration_atr=0.17515274949086035; reclaim_atr=0.48472505091642487; level_id=equal_low_17053; bars_held=16.0; net_result_r=1.179308496381765; level-sweep row (confirmation check n/a by design); review=textbook sweep: clean directional wick with clear penetration,2,2026-09-02T13:31:07+00:00,yes,yes,yes,n/a,52,textbook sweep: clean directional wick with clear penetration,level_sweep,equal,True,False,,,
R2-LVL-010332,LVL-010332,agent_5,incorrect,round2 source=level_sweep; level_type=equal; primary_outcome=sl; exit=stop; wick_ratio=0.019417475728138196; penetration_atr=0.424564063684719; reclaim_atr=-0.4033358605005072; level_id=equal_low_17648; bars_held=1.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,35,new-level penetration fails the baseline sweep-quality rules (penetration band / wick / close reclaim) - false-positive candidate,level_sweep,equal,False,False,,,
R2-LVL-010901,LVL-010901,agent_5,incorrect,round2 source=level_sweep; level_type=prev_day; primary_outcome=sl; exit=stop; wick_ratio=0.4657534246575496; penetration_atr=0.06857942617217526; reclaim_atr=0.5976207137858569; level_id=prev_day_high_16003; bars_held=2.0; net_result_r=-1.0; level-sweep row (confirmation check n/a by design); review=marginal pattern: tiny wick/penetration candidate for spread noise,2,2026-09-02T13:31:07+00:00,no,no,no,n/a,29,marginal pattern: tiny wick/penetration candidate for spread noise,level_sweep,prev_day,True,False,,,
