review_id,event_id,reviewer,verdict,notes,review_version,reviewed_at,detector_correct,liquidity_level_clear,sweep_clear,confirmation_clear,reviewer_score,reviewer_comment
R1-SWP-000028,SWP-000028,agent_5,correct,primary_outcome=sl; exit=stop; wick_ratio=0.7704918032788596; penetration_atr=0.17364341085255097; reclaim_atr=0.40155038759701767; level_id=rolling_low; bars_held=4; net_result_r=-1.0; review=textbook sweep: clean directional wick with clear penetration,1,2026-09-02T11:18:24+00:00,yes,yes,yes,n/a,52,textbook sweep: clean directional wick with clear penetration
R1-SWP-000032,SWP-000032,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.5930232558139074; penetration_atr=0.16279069767448254; reclaim_atr=0.6279069767441456; level_id=rolling_low; bars_held=1; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,43,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000042,SWP-000042,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.8612244897958615; penetration_atr=0.48185699039486635; reclaim_atr=0.3062966915688146; level_id=rolling_low; bars_held=2; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,82,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000070,SWP-000070,agent_5,correct,primary_outcome=time; exit=time; wick_ratio=0.5044776119403285; penetration_atr=0.18518518518513682; reclaim_atr=0.708994708994785; level_id=rolling_high; bars_held=16; net_result_r=-0.8249068653539502; review=textbook sweep: clean directional wick with clear penetration,1,2026-09-02T11:18:24+00:00,yes,yes,yes,n/a,40,textbook sweep: clean directional wick with clear penetration
R1-SWP-000089,SWP-000089,agent_5,ambiguous,primary_outcome=tp; exit=target; wick_ratio=0.4176245210727452; penetration_atr=0.10153807677877899; reclaim_atr=0.13304989371013928; level_id=rolling_low; bars_held=2; net_result_r=2.0; review=between clean and marginal thresholds; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,29,between clean and marginal thresholds; human review required
R1-SWP-000097,SWP-000097,agent_5,incorrect,primary_outcome=time; exit=time; wick_ratio=0.37073170731707694; penetration_atr=0.2610402355251039; reclaim_atr=1.057899901864566; level_id=rolling_low; bars_held=16; net_result_r=1.1861124559096836; review=marginal pattern: tiny wick/penetration candidate for spread noise,1,2026-09-02T11:18:24+00:00,no,yes,no,n/a,39,marginal pattern: tiny wick/penetration candidate for spread noise
R1-SWP-000098,SWP-000098,agent_5,incorrect,primary_outcome=time; exit=time; wick_ratio=0.3727272727272834; penetration_atr=0.2921208346309908; reclaim_atr=1.1336032388663688; level_id=rolling_low; bars_held=16; net_result_r=1.2580194693489328; review=marginal pattern: tiny wick/penetration candidate for spread noise,1,2026-09-02T11:18:24+00:00,no,yes,no,n/a,42,marginal pattern: tiny wick/penetration candidate for spread noise
R1-SWP-000110,SWP-000110,agent_5,ambiguous,primary_outcome=sl; exit=stop; wick_ratio=0.460629921259833; penetration_atr=0.24331550802141377; reclaim_atr=0.3823529411764292; level_id=rolling_low; bars_held=1; net_result_r=-1.0; review=between clean and marginal thresholds; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,42,between clean and marginal thresholds; human review required
R1-SWP-000111,SWP-000111,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.476190476190502; penetration_atr=0.19112627986354963; reclaim_atr=0.021236253318145357; level_id=rolling_low; bars_held=1; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,39,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000138,SWP-000138,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.38848920863310293; penetration_atr=0.0967184801380819; reclaim_atr=0.3385146804836532; level_id=rolling_high; bars_held=2; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,27,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000140,SWP-000140,agent_5,incorrect,primary_outcome=sl; exit=stop; wick_ratio=0.6839622641509266; penetration_atr=0.09213281483698278; reclaim_atr=0.5151061920430747; level_id=rolling_low; bars_held=4; net_result_r=-1.0; review=marginal pattern: tiny wick/penetration candidate for spread noise,1,2026-09-02T11:18:24+00:00,no,yes,no,n/a,42,marginal pattern: tiny wick/penetration candidate for spread noise
R1-SWP-000163,SWP-000163,agent_5,ambiguous,primary_outcome=tp; exit=target; wick_ratio=0.528301886792496; penetration_atr=0.10676835081034773; reclaim_atr=0.4537654909437882; level_id=rolling_low; bars_held=3; net_result_r=2.0; review=between clean and marginal thresholds; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,35,between clean and marginal thresholds; human review required
R1-SWP-000210,SWP-000210,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.7916666666666614; penetration_atr=0.3447495046702094; reclaim_atr=0.8004528729125334; level_id=rolling_high; bars_held=3; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,67,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000221,SWP-000221,agent_5,incorrect,primary_outcome=tp; exit=target; wick_ratio=0.44594594594596504; penetration_atr=0.08554842652003103; reclaim_atr=0.6202260922701034; level_id=rolling_high; bars_held=2; net_result_r=2.0; review=marginal pattern: tiny wick/penetration candidate for spread noise,1,2026-09-02T11:18:24+00:00,no,yes,no,n/a,29,marginal pattern: tiny wick/penetration candidate for spread noise
R1-SWP-000269,SWP-000269,agent_5,incorrect,primary_outcome=tp; exit=target; wick_ratio=0.4137931034481812; penetration_atr=0.0891719745224118; reclaim_atr=0.12484076433109267; level_id=rolling_high; bars_held=1; net_result_r=2.0; review=marginal pattern: tiny wick/penetration candidate for spread noise,1,2026-09-02T11:18:24+00:00,no,yes,no,n/a,28,marginal pattern: tiny wick/penetration candidate for spread noise
R1-SWP-000287,SWP-000287,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.5300859598854245; penetration_atr=0.2920317062995394; reclaim_atr=0.2482269503546483; level_id=rolling_high; bars_held=1; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,50,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000296,SWP-000296,agent_5,correct,primary_outcome=sl; exit=stop; wick_ratio=0.5748792270531842; penetration_atr=0.28306655433867867; reclaim_atr=0.48357203032856483; level_id=rolling_low; bars_held=7; net_result_r=-1.0; review=textbook sweep: clean directional wick with clear penetration,1,2026-09-02T11:18:24+00:00,yes,yes,yes,n/a,51,textbook sweep: clean directional wick with clear penetration
R1-SWP-000308,SWP-000308,agent_5,correct,primary_outcome=sl; exit=stop; wick_ratio=0.8295964125560062; penetration_atr=0.2226086956521309; reclaim_atr=0.42086956521740637; level_id=rolling_high; bars_held=1; net_result_r=-1.0; review=textbook sweep: clean directional wick with clear penetration,1,2026-09-02T11:18:24+00:00,yes,yes,yes,n/a,59,textbook sweep: clean directional wick with clear penetration
R1-SWP-000348,SWP-000348,agent_5,correct,primary_outcome=sl; exit=stop; wick_ratio=0.7962962962963275; penetration_atr=0.3161416225257632; reclaim_atr=0.18734318371899053; level_id=rolling_low; bars_held=1; net_result_r=-1.0; review=textbook sweep: clean directional wick with clear penetration,1,2026-09-02T11:18:24+00:00,yes,yes,yes,n/a,65,textbook sweep: clean directional wick with clear penetration
R1-SWP-000383,SWP-000383,agent_5,ambiguous,primary_outcome=ambiguous; exit=ambiguous; wick_ratio=0.5575221238938035; penetration_atr=0.1731512496779259; reclaim_atr=0.30662200463794936; level_id=rolling_high; bars_held=5; net_result_r=nan; review=TP and SL inside the same candle: intrabar order unknown; human review required,1,2026-09-02T11:18:24+00:00,maybe,yes,maybe,n/a,42,TP and SL inside the same candle: intrabar order unknown; human review required
R1-SWP-000425,SWP-000425,agent_5,incorrect,primary_outcome=tp; exit=target; wick_ratio=0.4268292682927641; penetration_atr=0.08850256815492258; reclaim_atr=0.22125642038724355; level_id=rolling_low; bars_held=2; net_result_r=2.0; review=marginal pattern: tiny wick/penetration candidate for spread noise,1,2026-09-02T11:18:24+00:00,no,yes,no,n/a,28,marginal pattern: tiny wick/penetration candidate for spread noise
